District,State,Area_km2,Population
Pratapgarh,Uttar Pradesh,4449.00,2741239.00
Pratapgarh,Uttar Pradesh,3717.00,2741239.00
Puducherry,Puducherry,294.00,2741239.00
Pudukkottai,Tamil Nadu,4644.00,2741239.00
Pulwama,Jammu and Kashmir,1086.00,2741239.00
Punch,Jammu and Kashmir,1674.00,2741239.00
Pune,Maharashtra,15643.00,2741239.00
Purba Champaran,#N/A,3968.00,2741239.00
Purba Medinipur,West Bengal,4713.00,2741239.00
Purbi Singhbhum,Jharkhand,3562.00,2741239.00
Puri,Orissa,3479.00,2741239.00
Purnia,Bihar,3229.00,2741239.00
Puruliya,West Bengal,6259.00,2741239.00
Rae Bareli,Uttar Pradesh,4609.00,2741239.00
Raichur,Karnataka,8442.00,2741239.00
Raigarh,Maharashtra,7086.00,2741239.00
Raigarh,Maharashtra,7152.00,2741239.00
Raipur,Chhattisgarh,12383.00,2741239.00
Raisen,Madhya Pradesh,8466.00,2741239.00
Rajgarh,Madhya Pradesh,6153.00,2741239.00
Rajkot,Gujarat,11198.00,2741239.00
Rajnandgaon,Chhattisgarh,8070.00,2741239.00
Rajouri,Jammu and Kashmir,2630.00,2741239.00
Rajsamand,Rajasthan,4655.00,2741239.00
Ramanagara,Karnataka,3516.00,2741239.00
Ramanathapuram,Tamil Nadu,4104.00,2741239.00
Ramban,Jammu and Kashmir,1329.00,2741239.00
Ramgarh,Jharkhand,1341.00,2741239.00
Rampur,Uttar Pradesh,2367.00,2741239.00
Ranchi,Jharkhand,5097.00,2741239.00
Rangareddy,Andhra Pradesh,7493.00,2741239.00
Ratlam,Madhya Pradesh,4861.00,2741239.00
Ratnagiri,Maharashtra,8208.00,2741239.00
Rayagada,Orissa,7073.00,2741239.00
Reasi,Jammu and Kashmir,1719.00,2741239.00
Rewa,Madhya Pradesh,6314.00,2741239.00
Rewari,Haryana,1594.00,2741239.00
Ribhoi,#N/A,2448.00,2741239.00
Rohtak,Haryana,1745.00,2741239.00
Rohtas,Bihar,3881.00,2741239.00
Rudraprayag,Uttarakhand,1984.00,2741239.00
Rupnagar,Punjab,1356.00,2741239.00
Sabarkantha,Gujarat,7394.00,2741239.00
Sagar,Madhya Pradesh,10252.00,2741239.00
Saharanpur,Uttar Pradesh,3689.00,2741239.00
Saharsa,Bihar,1687.00,2741239.00
Sahibganj,Jharkhand,2063.00,2741239.00
Sahibzada Ajit Singh Nagar,#N/A,1094.00,2741239.00
Saiha,Mizoram,1399.00,2741239.00
Salem,Tamil Nadu,5237.00,2741239.00
Samastipur,Bihar,2904.00,2741239.00
Samba,Jammu and Kashmir,904.00,2741239.00
Sambalpur,Orissa,6624.00,2741239.00
Sangli,Maharashtra,8572.00,2741239.00
Sangrur,Punjab,3625.00,2741239.00
Sant Kabir Nagar,Uttar Pradesh,1646.00,2741239.00
Sant Ravidas Nagar,Uttar Pradesh,1015.00,2741239.00
Saraikela-Kharsawan,#N/A,2657.00,2741239.00
Saran,Bihar,2641.00,2741239.00
Satara,Maharashtra,10480.00,2741239.00
Satna,Madhya Pradesh,7502.00,2741239.00
Sawai Madhopur,Rajasthan,4498.00,2741239.00
Sehore,Madhya Pradesh,6578.00,2741239.00
Senapati,Manipur,3271.00,2741239.00
Seoni,Madhya Pradesh,8758.00,2741239.00
Serchhip,Mizoram,1421.00,2741239.00
Shahdol,Madhya Pradesh,6205.00,2741239.00
Shahid Bhagat Singh Nagar,Punjab,1282.00,2741239.00
Shahjahanpur,Uttar Pradesh,4388.00,2741239.00
Shajapur,Madhya Pradesh,6195.00,2741239.00
Sheikhpura,Bihar,689.00,2741239.00
Sheohar,Bihar,349.00,2741239.00
Sheopur,Madhya Pradesh,6606.00,2741239.00
Shimla,Himachal Pradesh,5131.00,2741239.00
Shimoga,Karnataka,8478.00,2741239.00
Shivpuri,Madhya Pradesh,10066.00,2741239.00
Shrawasti,Uttar Pradesh,1640.00,2741239.00
Shupiyan,Jammu and Kashmir,312.00,2741239.00
Siddharthnagar,#N/A,2895.00,2741239.00
Sidhi,Madhya Pradesh,4851.00,2741239.00
Sikar,Rajasthan,7732.00,2741239.00
Simdega,Jharkhand,3774.00,2741239.00
Sindhudurg,Maharashtra,5207.00,2741239.00
Singrauli,Madhya Pradesh,5675.00,2741239.00
Sirmaur,Himachal Pradesh,2825.00,2741239.00
Sirohi,Rajasthan,5136.00,2741239.00
Sirsa,Haryana,4277.00,2741239.00
Sitamarhi,Bihar,2294.00,2741239.00
Sitapur,Uttar Pradesh,5743.00,2741239.00
Sivaganga,Tamil Nadu,4233.00,2741239.00
Sivasagar,Assam,2668.00,2741239.00
Siwan,Bihar,2219.00,2741239.00
Solan,Himachal Pradesh,1936.00,2741239.00
Solapur,Maharashtra,14895.00,2741239.00
Sonbhadra,Uttar Pradesh,6905.00,2741239.00
Sonipat,Haryana,2122.00,2741239.00
Sonitpur,Assam,5204.00,2741239.00
South,#N/A,247.00,2741239.00
South Andaman,Andaman And Nicobar Islands,2672.00,2741239.00
South District,#N/A,750.00,2741239.00
South Garo Hills,Meghalaya,1887.00,2741239.00
South Goa,Goa,1966.00,2741239.00
South Tripura,Tripura,3057.00,2741239.00
South Twenty Four Parganas,West Bengal,9960.00,2741239.00
South West,#N/A,421.00,2741239.00
Sri Potti Sriramulu Nellore,Andhra Pradesh,13076.00,2741239.00
Srikakulam,Andhra Pradesh,5837.00,2741239.00
Srinagar,Jammu and Kashmir,1979.00,2741239.00
Subarnapur,Orissa,2337.00,2741239.00
Sultanpur,Uttar Pradesh,4436.00,2741239.00
Sundargarh,Orissa,9712.00,2741239.00
